mu,ra_cnt,safe_cnt,ra_over_safe,u1_lo,u1_hi,u2_lo,u2_hi,max_abs_u,within_ub,ub_req,lambda
5,1027,1908,0.538259958071279,-2370.12523181216,1664.23299380662,-661.428244185678,396.679786370997,2370.12523181216,0,500,1.70115567681868e-07
10,1261,1908,0.660901467505241,-5458.67718552742,4988.22534241021,-1455.69771770711,1295.04608731465,5458.67718552742,0,500,1.70115567681868e-07
15,1381,1908,0.723794549266247,-10161.9422043117,8122.20782536819,-2723.35261712055,2151.19311121035,10161.9422043117,0,500,1.70115567681868e-07
30,1605,1908,0.841194968553459,-47001.9878300933,33673.1296191149,-17877.1168183406,29767.8413204962,47001.9878300933,0,500,1.70115567681868e-07
50,1704,1908,0.893081761006289,-350487.278992603,74701.4429543509,-29097.286658215,104036.487589691,350487.278992603,0,500,1.70115567681868e-07
100,1794,1908,0.940251572327044,-689945.142987633,331016.843465046,-57147.7112579018,205119.748272041,689945.142987633,0,500,1.70115567681868e-07
200,1839,1908,0.963836477987421,-1368860.87097775,12339847.3294983,-5865947.28170976,407286.26963674,12339847.3294983,0,500,1.70115567681868e-07
500,1882,1908,0.986373165618449,-3405608.05494789,30986121.0026958,-14729228.2710658,1013785.83373085,30986121.0026958,0,500,1.70115567681868e-07
1000,1899,1908,0.995283018867924,-6800186.69489837,62063243.7913576,-29501363.2533256,2024618.44055435,62063243.7913576,0,500,1.70115567681868e-07
