reach_con,safe_con,peak1_con,peak2_con,reach_unc,safe_unc,peak1_unc,peak2_unc,x1_0,x2_0,xi0
0,0,3.25042386801133,13.4853433734913,0,0,3.25042386801512,13.4853433733959,-1.69476684250417,0.934761775823349,10
0,0,3.54356107984235,9.70326765992723,0,0,3.54356107983691,9.70326765995174,-0.000469996697760156,1.64981615646363,10
0,0,1.03419372731378,60.5113037036674,0,0,1.03419372734671,60.5113036895912,0.716919984483762,1.7654825798139,10
0,0,5.93000485474418,8.14813626614113,0,0,5.93000485471895,8.14813626625932,-0.476235467405846,1.67819143142253,10
0,0,46.0088256893526,16.3063991471438,0,0,46.0088256893201,16.3063991470897,-1.73625461237638,-1.52784393625392,10
0,0,10.9138439210931,6.34166591495794,0,0,10.9138439210419,6.34166591637287,-0.847417602768026,-1.62437731558668,10
0,0,3.31851492020744,45.0275162639753,0,0,3.31851492016536,45.0275162642526,1.63837411087845,-0.332618798865678,10
0,0,3.908454339962,9.91920460201543,0,0,3.90845434005254,9.91920460205361,1.72482407875609,1.34806229029456,10
0,0,1.82864670667369,8.23786313989057,0,0,1.82864670664458,8.23786313988091,1.80051800165458,0.216527707962901,10
0,0,7.76146406275211,17.3429304878391,0,0,7.76146406275338,17.3429304876932,-1.07878848391614,-1.33149306436775,10
0,0,1.65554543135241,3.32100866227439,0,0,1.65554543133393,3.32100866245441,1.63651349954693,1.1005367201004,10
0,0,11.8386677242121,6.2853735626796,0,0,11.8386677243005,6.28537356272343,-1.467322216963,-1.33919387748392,10
0,0,7.34028701269801,15.0570576688584,0,0,7.34028701271308,15.0570576689107,0.0936503226950633,1.57996576067539,10
0,0,10.5453588439643,15.7112483892125,0,0,10.5453588439364,15.7112483892498,1.00163943640814,-1.34287707309581,10
0,0,2.00323652285547,35.087385196447,0,0,2.0032365228508,35.0873851966105,0.676052963535655,-1.67303965063023,10
0,0,6.74408827966303,16.7219407678546,0,0,6.74408827963717,16.7219407678271,-0.510461242459764,1.45980502960878,10
0,0,2.89158995704816,26.031838998021,0,0,2.89158995703795,26.031838998256,1.35167197723704,-1.17637292421312,10
0,0,7.46758632378817,35.7748118705429,0,0,7.46758632375932,35.7748118705429,-0.588086536222421,1.84001303672046,10
0,0,4.52507704303201,35.156329920776,0,0,4.52507704303199,35.1563299207042,-0.518595668047859,-1.84488143550701,10
0,0,1.72508371119614,34.1649492224859,0,0,1.72508371119738,34.1649492225421,-0.163628088434274,-1.70635577395511,10
0,0,1.2366988717022,6.56592478498208,0,0,1.23669887167773,6.56592478498391,1.62569307665735,-0.923505432855603,10
0,0,1.42401128059772,35.9710229889996,0,0,1.42401128055986,35.9710229920452,-0.310503825427439,1.72472471985645,10
0,0,3.45435980693818,22.744140594502,0,0,3.45435980693687,22.7441405945706,-0.294185709260231,-1.64733712632158,10
0,0,2.32228848519246,41.7501690688124,0,0,2.32228848522092,41.7501690686962,0.537519474535355,1.69216662395235,10
0,0,1.24118834018685,10.0893544061683,0,0,1.2411883402147,10.0893544061577,1.8218732920117,-0.643883743080568,10
0,0,2.28325695472771,13.8128692538445,0,0,2.28325695471595,13.8128692539113,0.370378749293492,-1.88686691080758,10
0,0,0.633760212002993,9.65035273330616,0,0,0.633760211991781,9.65035273336267,1.85988399814451,0.506715841276407,10
0,0,5.03547948489966,34.6490921695284,0,0,5.03547948491363,34.649092169685,1.78019289517118,-1.40755480256273,10
0,0,3.95748569906942,68.4786273269476,0,0,3.9574856991038,68.478627327231,1.36590685959359,-1.65876479587211,10
0,0,9.12029770582138,8.03704892400154,0,0,9.12029770576844,8.03704892424088,-0.765065370808658,-1.70597558014533,10
0,0,1.12354476453371,5.48819447532951,0,0,1.12354476450263,5.48819447533781,-1.4524955248102,1.41855587402223,10
0,0,8.45182244392125,15.5643228484968,0,0,8.45182244390087,15.5643228486036,-0.625853881182567,-1.89354429227076,10
0,0,1.03063549400065,51.7734050842787,0,0,1.03063549401757,51.7734050836347,1.18556280313019,1.6830213603488,10
0,0,0.132322304256343,2.79706673643021,0,0,0.132322304239485,2.79706673647837,1.54915580741094,1.02046893298536,10
0,0,1.22733524846448,7.04480427775512,0,0,1.22733524844311,7.04480427777501,1.75644541492874,0.854265737735176,10
0,0,11.0293247536068,37.0863326688762,0,0,11.0293247536528,37.0863326686959,-1.83737676225326,-0.69985547047479,10
0,0,6.16468051217682,65.4068691760995,0,0,6.16468051223967,65.4068691764379,1.50268689948033,-1.60730019883593,10
