x1,x2,x3,x4,x5,det,min_sv,cond,in_safe
0.0368092159829474,2.07212470872273,0.138777624788521,0.393740601021148,2.10893392470568,0.213568413243427,0.214231522339096,4.65339879591932,0
0.264479842689048,0.939961554766804,-0.276325503748988,0.316242744128471,1.20444139745585,0.221943141092452,0.153223060406899,9.4535181685366,0
-1.68253295926623,1.11815143503237,-0.330659988447783,0.447423316877752,-0.564381524233865,0.210857233524057,0.167182910481263,7.54405317765574,0
0.283439640347548,2.0228529868321,-0.109061218797338,-0.259680235549862,2.30629262717964,0.210826068654897,0.213603408040694,4.62070194148189,0
-0.419101884436476,1.85095235334488,-0.0409885808369903,0.0797005828157346,1.43185046890841,0.203423134246382,0.208855204139997,4.66347592343551,0
-1.75614898750148,1.52453403296749,0.345442994771728,-0.311185069823043,-0.231614954533985,0.198931792883078,0.193174703710999,5.33093868168032,0
-1.30375445283238,2.18399352354729,0.0332832793245892,-0.148723455960214,0.880239070714907,0.220714624738647,0.21401728757789,4.81873895203582,0
-0.63279620198754,1.4297866577254,-0.428720900544943,0.106255539402951,0.796990455737859,0.199974031521123,0.187670056042526,5.67784633724699,0
0.393767088585744,1.81521338968855,-0.146381902364487,0.144567851968025,2.20898047827429,0.202318946959645,0.207478531089077,4.69991741427404,0
0.412221337998191,2.27749235960108,0.427961930258763,0.115260116780966,2.68971369759927,0.227457266025522,0.211656617051891,5.07733844873328,0
-1.60596729580613,1.26528406116777,-0.0857520277257864,0.379022760492066,-0.340683234638359,0.204298008085488,0.177344229122964,6.49576059779156,0
0.426481954401539,1.91743236134544,-0.131046171672098,0.250864096754296,2.34391431574698,0.205877897578239,0.211096584000517,4.62005678522353,0
0.392917370607364,1.95912701609936,0.35089607825178,0.303755395934425,2.35204438670672,0.207681834002036,0.212257998854594,4.60967576880783,0
-0.786560878192897,1.08616704576955,0.29760236241427,-0.247239850593674,0.299606167576656,0.2126093847882,0.164830726210945,7.82539172400593,0
0.000701172222000501,1.67621025671712,-0.149764411769666,-0.279467528356351,1.67691142893912,0.199458634760068,0.201220735720056,4.92614710854447,0
-1.64528415343196,0.894210686825892,0.276399016660156,-0.37829585059594,-0.75107346660607,0.225230916677639,0.149239125810427,10.1125949306438,0
-0.945596793434313,1.85334187649169,-0.451529831784846,-0.115635842166209,0.907745083057381,0.203502342331829,0.208943236238003,4.66136142973023,0
0.289338812972668,1.83090293811159,0.0902706901039814,-0.355803426752418,2.12024175108426,0.202785104329328,0.208096444541364,4.68281208394526,0
-0.0194816761011141,1.00688134675502,-0.341762325605626,0.0851700578397726,0.987399670653908,0.217419812092367,0.158727728388065,8.62965659994593,0
0.398731065982258,2.17679133285627,0.437622240029232,0.280287819993918,2.57552239883852,0.220220041584047,0.214109473347694,4.80380172590349,0
