lambda,dim,k1_effect_pct,u_scale,mu_val,k1_lambda
0.215443469003188,2,0.00148108307124132,20502375915.7977,15,1.70115567681868e-07
0.464158883361278,1,0.00191262177681576,51773900050.4359,15,1.70115567681868e-07
0.464158883361278,2,0.00154210578551392,20502434522.2904,15,1.70115567681868e-07
1,1,0.00233723054784169,51774218608.5186,15,1.70115567681868e-07
1,2,0.00167357405257076,20502560786.1514,15,1.70115567681868e-07
2.15443469003189,1,0.00501907573573013,51774904921.1027,15,1.70115567681868e-07
2.15443469003189,2,0.00322998502939538,20502832813.3937,15,1.70115567681868e-07
4.64158883361277,1,0.0107966944518789,51776383536.7422,15,1.70115567681868e-07
4.64158883361277,2,0.00694812389496512,20503418878.321,15,1.70115567681868e-07
10,1,0.0232430753944945,51779569117.5691,15,1.70115567681868e-07
10,2,0.014957889023233,20504681516.931,15,1.70115567681868e-07
15,1,0.034855566865445,51782541622.5972,15,1.70115567681868e-07
15,2,0.0224310106943047,20505859700.6975,15,1.70115567681868e-07
21.5443469003189,1,0.0500527870616372,51786432243.4106,15,1.70115567681868e-07
21.5443469003189,2,0.0322110533447185,20507401789.3534,15,1.70115567681868e-07
46.4158883361277,1,0.107788420366332,51801218399.8054,15,1.70115567681868e-07
46.4158883361277,2,0.0693663201137846,20513262438.6266,15,1.70115567681868e-07
100,1,0.232064141446112,51833074208.0747,15,1.70115567681868e-07
100,2,0.149342818455736,20525888824.7269,15,1.70115567681868e-07
215.443469003189,1,0.499289686155296,51901705466.4891,15,1.70115567681868e-07
215.443469003189,2,0.32131305875775,20553091548.9511,15,1.70115567681868e-07
464.158883361277,1,1.07261504378478,52049567030.4376,15,1.70115567681868e-07
464.158883361277,2,0.69026927537542,20611698041.6831,15,1.70115567681868e-07
1000,1,2.2968057756875,52368125113.1305,15,1.70115567681868e-07
1000,2,1.47807521348031,20737961902.6859,15,1.70115567681868e-07
