x1,x2,th,v,u1_full,u2_full,u1_zero,u2_zero,u1_k0,u2_k0,k1_lambda,mu_val,xi0
-0.50183952461055,0.919993243959881,2.72043501753808,0.767399682805836,-1.8967074106409,0.900672497727046,-1.8967074106409,0.900672493527211,-1.89670762443445,0.900672350336263,1.09456316972482e-08,0.1,1e-08
1.80285722563966,-1.26195201760515,2.29298098631243,0.892991687586685,2.18572221789608,3.38733983986552,2.18572221789608,3.38733983497834,2.18572301385618,3.38734006817901,1.09456316972482e-08,0.1,1e-08
0.92797576724562,-0.613441222520455,2.3590412443172,0.516861887841101,-1.66378803582612,-1.52350488916483,-1.66378803582612,-1.52350489199352,-1.66378770076574,-1.52350496711202,1.09456316972482e-08,0.1,1e-08
0.394633936788146,0.653122547431273,2.47279182839917,0.360260858506067,-1.7664871630483,0.201632355322056,-1.76648716304831,0.201632353350415,-1.76648720563221,0.201632214506997,1.09456316972482e-08,0.1,1e-08
-1.37592543823025,-0.0716426219020803,2.52092564847319,0.386961916919915,6.02708279836487,3.2611708431795,6.02708279836487,3.26117084106173,6.02708298193076,3.26117085727173,1.09456316972482e-08,0.1,1e-08
-1.37602191865519,0.954284154539575,2.60178704910067,0.727253432527954,1.09282514499931,3.58424398486725,1.09282514499931,3.58424398088713,1.09282461736623,3.58424431560721,1.09456316972482e-08,0.1,1e-08
-1.7676655513272,1.84483160489144,2.62942933591156,0.610802230592347,12.1640213899554,-21.2524908083812,12.1640213899554,-21.252490811724,12.1640194303101,-21.2524899879017,1.09456316972482e-08,0.1,1e-08
1.46470458309974,-1.53381324913921,3.04884518446282,0.537844717879531,-0.178604915654205,0.189797247130342,-0.178604915654201,0.18979724418682,-0.178604536777504,0.189797322067956,1.09456316972482e-08,0.1,1e-08
0.404460046972835,0.838270865592244,3.16164269757013,0.282496670898557,-4.4735591993139,-0.2575544373198,-4.47355919931391,-0.257554438865852,-4.4735592258368,-0.257554490374287,1.09456316972482e-08,0.1,1e-08
0.832290311184182,-1.07862337747154,2.74131020312412,0.887910118749013,1.8538170662465,-1.88294954418243,1.8538170662465,-1.8829495490418,1.85381717795644,-1.88294945156906,1.09456316972482e-08,0.1,1e-08
-1.91766202281679,-0.342093090369723,3.99463228069405,0.802918402756665,5.592978779828,-3.9681304817062,5.592978779828,-3.96813048610042,5.59297887287244,-3.96812995596034,1.09456316972482e-08,0.1,1e-08
1.87963940864798,-1.86854909681944,3.25288822989343,0.226574741565307,-91.3561504006575,16.4384518344894,-91.3561504006575,16.4384518332494,-91.3561493408712,16.4384518575314,1.09456316972482e-08,0.1,1e-08
1.32977056320169,-1.4563704708292,3.743682923714,0.430649609141923,4.35992041177299,-0.0379812455509049,4.35992041177299,-0.0379812479077683,4.35992123676164,-0.0379813302772382,1.09456316972482e-08,0.1,1e-08
-1.1506435572869,-0.720890843804401,4.03011429206191,0.587918884275002,-3.04713203114651,2.38058851928151,-3.04713203114651,2.38058851606394,-3.04713185643447,2.38058858778316,1.09456316972482e-08,0.1,1e-08
-1.2727001311716,-0.63205677884806,2.43606448738911,0.508904760494379,5.18708425204766,2.42311497442142,5.18708425204766,2.42311497163628,5.18708462260199,2.4231149489471,1.09456316972482e-08,0.1,1e-08
-1.26638196058626,1.59834086584838,2.99053332552624,0.458016254863965,-1.71738779226469,0.572301926223259,-1.71738779226469,0.572301923716623,-1.71738877804258,0.572302127845967,1.09456316972482e-08,0.1,1e-08
-0.783031028161849,0.96725163706606,3.00170884605006,0.746948707804476,-2.31645142969081,1.21838742250964,-2.31645142969081,1.21838741842173,-2.31645172699435,1.21838741282129,1.09456316972482e-08,0.1,1e-08
0.0990257265289514,1.88873187274816,2.83680004764558,0.149053153814054,26.8464201862247,-1.21513102945722,26.8464201862247,-1.21513103027296,26.8464195906077,-1.21513111940696,1.09456316972482e-08,0.1,1e-08
-0.272219925431537,0.396286041340962,2.11304750568152,0.524269305213348,-0.189191343176388,0.115371865504366,-0.189191343176389,0.115371862635137,-0.189191330066414,0.115371637182551,1.09456316972482e-08,0.1,1e-08
-0.835083439207832,-1.03314507163473,3.80336308861309,0.335963521350641,3.08601032790917,2.24320428548623,3.08601032790917,2.24320428364756,3.08601073697865,2.24320428532438,1.09456316972482e-08,0.1,1e-08
0.447411578889518,-0.689379880313429,2.328044399082,0.176156546711283,1.60568313623073,-0.731963114902964,1.60568313623074,-0.731963115867038,1.60568338520112,-0.731963137592535,1.09456316972482e-08,0.1,1e-08
