lambda,dim,k1_effect_pct,u_scale,mu_val,k1_lambda
1e-08,1,7.186759501066e-07,355.94342414706,0.1,1.09456316972482e-08
1e-08,2,3.58341711514106e-06,57.6319065614855,0.1,1.09456316972482e-08
1.09456316972482e-08,1,7.18675949108488e-07,355.94342414706,0.1,1.09456316972482e-08
1.09456316972482e-08,2,3.58341711515314e-06,57.6319065612913,0.1,1.09456316972482e-08
2.15443469003188e-08,1,7.18675937131145e-07,355.94342414706,0.1,1.09456316972482e-08
2.15443469003188e-08,2,3.58341711991188e-06,57.6319065591141,0.1,1.09456316972482e-08
4.64158883361278e-08,1,7.18675910182124e-07,355.94342414706,0.1,1.09456316972482e-08
4.64158883361278e-08,2,3.58341714026414e-06,57.6319065540051,0.1,1.09456316972482e-08
1e-07,1,7.1867585029541e-07,355.94342414706,0.1,1.09456316972482e-08
1e-07,2,3.58341717947661e-06,57.631906542998,0.1,1.09456316972482e-08
2.15443469003188e-07,1,7.18675719542752e-07,355.943424147059,0.1,1.09456316972482e-08
2.15443469003188e-07,2,3.58341726571284e-06,57.6319065192839,0.1,1.09456316972482e-08
4.64158883361278e-07,1,7.18675441069533e-07,355.943424147059,0.1,1.09456316972482e-08
4.64158883361278e-07,2,3.58341744920089e-06,57.6319064681935,0.1,1.09456316972482e-08
1e-06,1,7.18674839208059e-07,355.943424147057,0.1,1.09456316972482e-08
1e-06,2,3.5834178459489e-06,57.6319063581226,0.1,1.09456316972482e-08
2.15443469003189e-06,1,7.18673543658818e-07,355.943424147054,0.1,1.09456316972482e-08
2.15443469003189e-06,2,3.58341870060565e-06,57.631906120982,0.1,1.09456316972482e-08
4.64158883361277e-06,1,7.18670750941732e-07,355.943424147047,0.1,1.09456316972482e-08
4.64158883361277e-06,2,3.58342053856837e-06,57.631905610078,0.1,1.09456316972482e-08
1e-05,1,7.18664737317557e-07,355.943424147031,0.1,1.09456316972482e-08
1e-05,2,3.58342450450752e-06,57.6319045093686,0.1,1.09456316972482e-08
2.15443469003189e-05,1,7.18651778830808e-07,355.943424146998,0.1,1.09456316972482e-08
2.15443469003189e-05,2,3.58343304491144e-06,57.6319021379623,0.1,1.09456316972482e-08
4.64158883361277e-05,1,7.18623860642958e-07,355.943424146926,0.1,1.09456316972482e-08
4.64158883361277e-05,2,3.58345144611834e-06,57.6318970289222,0.1,1.09456316972482e-08
0.0001,1,7.1856371442009e-07,355.943424146771,0.1,1.09456316972482e-08
0.0001,2,3.58349109011729e-06,57.6318860218289,0.1,1.09456316972482e-08
0.000215443469003188,1,7.18434129552599e-07,355.943424146438,0.1,1.09456316972482e-08
0.000215443469003188,2,3.58357650040742e-06,57.6318623077654,0.1,1.09456316972482e-08
0.000464158883361278,1,7.18154950668432e-07,355.943424145719,0.1,1.09456316972482e-08
0.000464158883361278,2,3.58376051750088e-06,57.6318112173643,0.1,1.09456316972482e-08
0.001,1,7.17553477460512e-07,355.943424144171,0.1,1.09456316972482e-08
0.001,2,3.58415696397584e-06,57.6317011464319,0.1,1.09456316972482e-08
