sample_idx,x1,x2,x3,x4,x5,slack1,slack2
1,-1.31174599887491,2.4805210746738,-0.239788632064246,0.188396704926908,1.16877507579889,94.8080296049526,0.0047654015001333
2,-1.30599369034217,2.7224430807328,0.409304146406049,-0.41627586689109,1.41644939039064,0.00476467259613403,0.00476135716061594
3,-2.52790066194371,2.76488450166602,-0.208483071848808,-0.0281570251623863,0.236983839722309,0.00474873349660997,0.00459576188427776
4,-1.43665640403064,2.64498810868677,-0.462252683032567,-0.348389362069524,1.20833170465612,0.00476413281854719,0.00473893717883286
5,-1.06249904566088,2.42851400344641,0.15579627989972,-0.116277825280546,1.36601495778553,0.00475743900877315,0.00471811860952607
6,-1.32103058190807,2.76553411249921,-0.237119298010674,0.265432216744772,1.44450353059114,0.00478060673229537,0.00475578399332068
7,-1.70943378931667,2.6199678085075,-0.427031667074312,-0.308706825797893,0.91053401919083,0.00475719891037879,0.00473972796024351
8,-2.6129256617863,2.79825056794524,-0.327900147350138,0.0218274743638449,0.185324906158942,846.604855377656,387.436703513742
9,-0.815816946820092,2.61267180525854,-0.181824790491297,0.454617371504054,1.79685485843845,1757.18765767139,76.8179179825492
10,-0.882843134184752,2.48032504041287,-0.189852778909198,-0.266151630914522,1.59748190622812,0.0047743784793938,0.00473970438912919
11,-1.43990343174956,2.57201484351658,-0.190518420805133,-0.432326463342017,1.13211141176702,0.00476555899354307,0.00476013632171531
12,-2.05275232790298,2.73706170863463,-0.27650568574416,-0.266852696381913,0.684309380731651,0.00475748479443862,0.00474264536628053
13,-2.02670711920039,2.75764007300655,0.475604968589112,-0.24825553571747,0.730932953806155,0.00476096153771233,0.004749487170129
14,-0.804134082931503,2.50605064276487,0.1464017366658,-0.20869719129485,1.70191655983337,882.098126241253,0.00475062015284691
15,-2.56852780698915,2.77780953772779,0.10102587748869,-0.284133602340511,0.209281730738638,151.984323973485,0.00479884054279941
16,-2.39503766786455,2.72637299927317,0.0239931674646672,0.047967796793928,0.331335331408624,0.00470527063334203,0.00466659661553604
17,-0.776203558130274,2.35349840953592,0.120278817100843,-0.443052051301552,1.57729485140565,0.00476308967460871,0.00475762759455668
18,-1.58745869495817,2.52930096758236,-0.409681439700927,0.153943672179926,0.941842272624187,0.00475739998367203,0.00475172937795358
19,-0.938786055216224,2.66538976763723,-0.453420057913458,-0.232792723243431,1.72660371242101,302.480401260151,0.00476037404915924
20,-0.677050632590468,2.07069961341543,0.350298736571792,0.0149824036958058,1.39364898082496,2134.60333765127,0.00473877931263794
21,-0.852817614804176,2.56413244367455,0.371187046350318,0.18587245523144,1.71131482887037,497.483158447707,0.00474580751907227
22,-1.82621206113259,2.61569717287285,-0.209256134109326,0.342588379433667,0.789485111740262,0.00477078489910044,0.00476114135171745
23,-0.813847780611057,2.38539584497163,0.114770953156262,0.305503111259863,1.57154806436057,86.3976812499382,0.00473937806491002
24,-0.823639893826853,2.44441490117458,0.153602952535226,-0.176060879839284,1.62077500734772,0.00475825405157401,0.004692308710875
25,-0.860279303560866,2.48221172427813,0.0388193672496691,0.483162289911408,1.62193242071726,0.00476190669197398,0.00475742755687534
26,-1.38243212598604,2.61738634328205,-0.428793282458767,-0.382093688179716,1.23495421729602,0.00476380851105378,0.00475761282933714
27,-2.17170310900258,2.80115455209241,0.227397293845952,0.121883161454933,0.629451443089831,50.9843915729636,12.8565976821037
28,-1.11618371113177,2.57679868230356,0.126463855254056,-0.0813948143280849,1.46061497117179,0.00473896861623514,0.0045914314284757
29,-1.18298513729317,2.67937947794852,-0.0921399744090866,-0.207403556376057,1.49639434065536,0.004764098679811,0.00474013550015326
30,-1.58028934131385,2.69100547268859,0.205034522263333,0.0517900635794957,1.11071613137474,0.00470699033179573,0.00459561613403234
31,-1.64504610329383,2.63002032266095,-0.215459389727944,-0.150735094152361,0.98497421936712,0.00473887629085661,0.0046924517543209
32,-1.29969114198075,2.62515608725726,-0.433831278274819,0.180265628728575,1.32546494527651,0.00475744475614579,0.00473893105159648
33,-1.45729912418243,2.65500260291152,0.151319897226239,0.255714133601085,1.19770347872909,0.00476491893893777,0.00473918130204899
