success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.5750000000000002,0.5750000000000002,14.339957974919148,4.248732556353204,0,23,157.3901032629099,3619.972375046927,0.025,50,1.25,Vanilla MPC,16,300,42,7.7,5.1
True,REACHED,1.1749999999999998,1.1749999999999998,48.89937225422143,2.112834222207266e-06,0,47,114.35097429784946,5374.495791998925,0.025,50,1.25,Vanilla MPC,17,300,42,7.7,5.1
True,REACHED,0.4750000000000001,0.4750000000000001,13.608608087254725,8.184894960177107,0,19,114.82275231805704,2181.6322940430837,0.025,50,1.25,Vanilla MPC,18,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.8743130714584793,1,0,495.7041250017937,495.7041250017937,0.025,50,1.25,Vanilla MPC,19,300,42,7.7,5.1
True,REACHED,0.6000000000000002,0.6000000000000002,12.600089904613831,8.693577203622207,0,24,101.54368758351968,2437.0485020044725,0.025,50,1.25,Vanilla MPC,20,300,42,7.7,5.1
True,REACHED,1.1749999999999998,1.1749999999999998,50.33523813775361,2.689103462132887e-06,0,47,100.67508242401404,4731.72887392866,0.025,50,1.25,Vanilla MPC,21,300,42,7.7,5.1
True,REACHED,0.1999999999999999,0.1999999999999999,5.888124810753171,9.194602141979937,0,8,123.95938025110809,991.6750420088648,0.025,50,1.25,Vanilla MPC,22,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,7.2691005045984785,1,0,365.7614999974612,365.7614999974612,0.025,50,1.25,Vanilla MPC,23,300,42,7.7,5.1
True,REACHED,0.6750000000000003,0.6750000000000003,9.941084510723584,2.363746036451476e-05,0,27,97.00434718656146,2619.1173740371596,0.025,50,1.25,Vanilla MPC,24,300,42,7.7,5.1
True,REACHED,1.1,1.1,28.208432115366413,3.010753589616504e-06,0,44,107.05226709152076,4710.299752026913,0.025,50,1.25,Vanilla MPC,25,300,42,7.7,5.1
True,REACHED,1.125,1.125,49.414155331817035,1.8872336198065695e-06,0,45,105.67729437801366,4755.478247010615,0.025,50,1.25,Vanilla MPC,26,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.1010009878927606,1,0,535.4088329913793,535.4088329913793,0.025,50,1.25,Vanilla MPC,27,300,42,7.7,5.1
True,REACHED,1.2749999999999997,1.2749999999999997,49.280755256427845,2.9569823281866895e-06,0,51,118.63359721553256,6050.313457992161,0.025,50,1.25,Vanilla MPC,28,300,42,7.7,5.1
True,REACHED,1.0500000000000005,1.0500000000000005,24.075039466639193,2.955339336708255e-06,0,42,116.20354176141387,4880.548753979383,0.025,50,1.25,Vanilla MPC,29,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,38.584274607577456,8.770841735939908e-07,0,50,116.49851086054696,5824.925543027348,0.025,50,1.25,Vanilla MPC,30,300,42,7.7,5.1
True,REACHED,0.4750000000000001,0.4750000000000001,14.744936014422985,10.223943650151345,0,19,93.77132468522944,1781.6551690193592,0.025,50,1.25,Vanilla MPC,31,300,42,7.7,5.1
True,REACHED,0.9500000000000004,0.9500000000000004,35.05883860995955,4.205487750173005e-07,0,38,136.05964263153606,5170.26641999837,0.025,50,1.25,Vanilla MPC,32,300,42,7.7,5.1
True,REACHED,1.0500000000000005,1.0500000000000005,23.64862980159093,0.0001033898488165,0,42,124.83154273788732,5242.924794991268,0.025,50,1.25,Vanilla MPC,33,300,42,7.7,5.1
True,REACHED,1.3499999999999992,1.3499999999999992,49.16648868825786,4.535603611972359e-07,0,54,141.9386889624379,7664.689203971648,0.025,50,1.25,Vanilla MPC,34,300,42,7.7,5.1
True,REACHED,0.7250000000000003,0.7250000000000003,13.467885930709048,2.945717716132233,0,29,108.06322551848254,3133.833540035994,0.025,50,1.25,Vanilla MPC,35,300,42,7.7,5.1
True,REACHED,1.1,1.1,28.330012464190183,3.15827454899985e-06,0,44,139.83037686326,6152.536581983441,0.025,50,1.25,Vanilla MPC,36,300,42,7.7,5.1
True,REACHED,1.3499999999999992,1.3499999999999992,40.25278031263993,9.837849521221962e-07,0,54,134.0934536109907,7241.046494993498,0.025,50,1.25,Vanilla MPC,37,300,42,7.7,5.1
True,REACHED,1.15,1.15,28.766834348854104,2.0634392971631777e-06,0,46,122.22256602209475,5622.238037016359,0.025,50,1.25,Vanilla MPC,38,300,42,7.7,5.1
True,REACHED,0.2249999999999999,0.2249999999999999,7.109917871778264,6.091188770529033,0,9,119.60854622076214,1076.4769159868592,0.025,50,1.25,Vanilla MPC,39,300,42,7.7,5.1
True,REACHED,1.2249999999999996,1.2249999999999996,35.75928553417108,1.4308707272733788e-06,0,49,132.5631870627427,6495.596166074392,0.025,50,1.25,Vanilla MPC,40,300,42,7.7,5.1
True,REACHED,0.9750000000000004,0.9750000000000004,25.074318548314587,2.557548521551535e-06,0,39,138.17229579413274,5388.719535971177,0.025,50,1.25,Vanilla MPC,41,300,42,7.7,5.1
True,REACHED,0.6250000000000002,0.6250000000000002,11.32045625083218,4.454720647476713,0,25,122.47772499977144,3061.9431249942863,0.025,50,1.25,Vanilla MPC,42,300,42,7.7,5.1
True,REACHED,0.8000000000000004,0.8000000000000004,16.868797547683727,8.533828614335492e-05,0,32,119.57570706272236,3826.422626007115,0.025,50,1.25,Vanilla MPC,43,300,42,7.7,5.1
True,REACHED,0.7750000000000004,0.7750000000000004,15.406849173412954,2.670792151731312,0,31,115.21630516208168,3571.705460024532,0.025,50,1.25,Vanilla MPC,44,300,42,7.7,5.1
True,REACHED,0.5000000000000001,0.5000000000000001,17.097605778850095,4.572840183692817,0,20,124.41501035209512,2488.3002070419025,0.025,50,1.25,Vanilla MPC,45,300,42,7.7,5.1
True,REACHED,0.15,0.15,4.51496156267304,6.362157484487046,0,6,99.46221533270244,596.7732919962145,0.025,50,1.25,Vanilla MPC,46,300,42,7.7,5.1
True,REACHED,1.0500000000000005,1.0500000000000005,26.272100508216397,1.752123509409776e-06,0,42,113.92421526224574,4784.817041014321,0.025,50,1.25,Vanilla MPC,47,300,42,7.7,5.1
True,REACHED,0.7000000000000003,0.7000000000000003,21.28953876732023,6.193194249063809e-05,0,28,125.0092202140617,3500.2581659937277,0.025,50,1.25,Vanilla MPC,48,300,42,7.7,5.1
True,REACHED,1.0750000000000002,1.0750000000000002,46.11286639890629,3.899952779830014e-06,0,43,113.86576549016036,4896.227916076896,0.025,50,1.25,Vanilla MPC,49,300,42,7.7,5.1
True,REACHED,0.6500000000000002,0.6500000000000002,11.159036893154424,9.592612824094664,0,26,110.54343272833368,2874.129250936676,0.025,50,1.25,Vanilla MPC,50,300,42,7.7,5.1
True,REACHED,0.6500000000000002,0.6500000000000002,11.18464626981718,2.4881373301970653,0,26,112.45838934813106,2923.9181230514077,0.025,50,1.25,Vanilla MPC,51,300,42,7.7,5.1
True,REACHED,1.2749999999999997,1.2749999999999997,38.882827825025295,2.0077006992785412e-06,0,51,117.12249515660326,5973.247252986766,0.025,50,1.25,Vanilla MPC,52,300,42,7.7,5.1
True,REACHED,1.2999999999999994,1.2999999999999994,43.20129293748572,2.085130753840737e-06,0,52,122.06404249977471,6347.330209988286,0.025,50,1.25,Vanilla MPC,53,300,42,7.7,5.1
True,REACHED,1.1749999999999998,1.1749999999999998,30.111427548307223,4.277362649532449e-06,0,47,111.17759400030025,5225.346918014111,0.025,50,1.25,Vanilla MPC,54,300,42,7.7,5.1
True,REACHED,0.9250000000000004,0.9250000000000004,19.7247200904585,2.530841127487379,0,37,121.20301805466502,4484.511668022606,0.025,50,1.25,Vanilla MPC,55,300,42,7.7,5.1
True,REACHED,1.2749999999999997,1.2749999999999997,47.69966577266725,2.350277008506605e-06,0,51,113.03379735310206,5764.723665008205,0.025,50,1.25,Vanilla MPC,56,300,42,7.7,5.1
True,REACHED,1.15,1.15,29.685706640780293,3.4579025495599957e-06,0,46,113.3910299566038,5215.987378003774,0.025,50,1.25,Vanilla MPC,57,300,42,7.7,5.1
True,REACHED,1.2249999999999996,1.2249999999999996,52.66486269710282,2.3684228705334036e-06,0,49,128.4987977355462,6296.441089041764,0.025,50,1.25,Vanilla MPC,58,300,42,7.7,5.1
True,REACHED,1.0000000000000004,1.0000000000000004,20.029550744260465,1.6776447688384256e-06,0,40,99.3320843510446,3973.283374041785,0.025,50,1.25,Vanilla MPC,59,300,42,7.7,5.1
True,REACHED,0.5750000000000002,0.5750000000000002,15.7171882877511,4.710424152239058,0,23,112.63565960752716,2590.620170973125,0.025,50,1.25,Vanilla MPC,60,300,42,7.7,5.1
True,REACHED,1.1999999999999995,1.1999999999999995,33.201831811068345,2.2863981169690173e-06,0,48,117.28667529344725,5629.760414085467,0.025,50,1.25,Vanilla MPC,61,300,42,7.7,5.1
True,REACHED,1.2749999999999997,1.2749999999999997,47.13022421990521,1.2107410413903454e-06,0,51,129.31437084369142,6595.032913028263,0.025,50,1.25,Vanilla MPC,62,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,2.699796154485192,1,0,291.71020799549296,291.71020799549296,0.025,50,1.25,Vanilla MPC,63,300,42,7.7,5.1
