slack_weight,lam,delta,delta_over_lambda,u_max_eff_omega,u_max_eff_a,n_kept,n_total,funnel_pct
0.1,1.09456316972482e-08,0.0566429145699114,5174933.35575614,7.8,5.1,186,250,0.0
0.01,1.09456316972482e-08,7.81419636171775e-08,7.139100399004188,7.9,5.1,187,250,50.50999348096528
0.001,1.09456316972482e-08,7.7113053978449e-10,0.07045098548111728,7.9,5.1,187,250,99.59263149804002
1e-05,1.09456316972482e-08,6.1430286746907e-10,0.056123107780386,7.9,5.1,187,250,99.67234021959753
