slack_weight,lambda,delta,delta_over_lambda,slack1_max,slack2_max
NaN,1.09456316972482e-08,1.50313475483504e-10,0.0137327364597234,0,0
1,1.09456316972482e-08,0.921854843431994,84221255.4679468,33.7150844651933,3.21944122855795
0.1,1.09456316972482e-08,0.0566429145699114,5174933.35575615,33.743984161594,3.22259912366328
0.01,1.09456316972482e-08,7.81419636171775e-08,7.1391003990042,33.7388308228771,3.22139947309325
0.001,1.09456316972482e-08,7.7113053978449e-10,0.0704509854811174,33.7388383469427,3.2214031547487
0.0001,1.09456316972482e-08,4.48081343212421e-09,0.409370016830616,33.7388775986755,3.22148616487097
1e-05,1.09456316972482e-08,6.1430286746907e-10,0.0561231077803861,33.7390232431118,3.22153384496265
1e-06,1.09456316972482e-08,-2.20127278882144e-10,-0.0201109707480369,33.7620831300269,3.23504794324363
