slack_weight,sample_idx,x1,x2,th,v,slack1,slack2
0.1,2,-1.37592543823025,-1.44291170934645,2.89067494432964,0.891081010254041,0.0001530041405632,0.0001529850354199
0.1,3,-1.37602191865519,1.17610075708118,2.9296875814265,0.61459511684349,0.0001529919087252,0.0001530155514961
0.1,4,1.46470458309974,0.133844367905286,3.21196966288251,0.487384669288891,0.0001529825393247,0.0001530412910803
0.1,6,1.87963940864798,-0.753111728817807,3.5984285561575,0.641731087913618,0.0001529963501727,0.0001530047315206
0.1,8,0.0990257265289514,1.507062547047,3.97522588591352,0.732370395776965,0.0001530470609183,0.0001530007477489
0.1,10,-1.44202455739183,1.38580916693807,4.05147334043442,0.446060194880331,0.000153199276892,0.0001529561252198
0.1,11,-0.831421405859127,-1.49004535067207,2.83083193643822,0.538900361759138,1.68551142884369,0.0001529561247236
0.1,12,1.14070384557205,-1.4003302906049,2.63218668823636,0.64058595989352,0.0001530152186689,0.0001529767754468
0.1,13,-1.73979362805888,-0.992803764372189,3.59429756706184,0.525244019505862,0.0001529785817416,0.0001529843429956
0.1,14,1.79554214901333,-0.617216025984322,2.66537747432435,0.141083870952145,0.0001529798022915,0.0001529565674144
0.1,16,1.23358939246584,1.63380224533451,2.34967273932794,0.349132877012175,0.0001529901442998,0.0001529555531768
0.1,17,-0.239390025041595,1.78913335844726,3.19429472110172,0.276487941464554,0.0001529870773436,0.0001529090273956
0.1,18,-1.51184706062088,-1.38659438753568,3.57941812031486,0.649702063968191,0.0001529885460175,0.0001529873432151
0.1,19,1.63728160831513,0.445816941738591,2.6317389400337,0.564915365601381,0.0001530142584913,0.0001529933839522
0.1,22,-0.753155695642356,1.72847312993445,3.78246195120769,0.297161928191672,0.0001530067669797,0.0001529553395365
0.1,23,-1.26058217789789,1.68999752470918,3.42046424251083,0.404974584404876,0.0001529917579899,0.0001529556928266
0.1,24,1.87833851105823,0.828954537253594,4.08700960271134,0.822327111621832,0.0001530291341395,0.0001529910290444
0.1,25,1.10053129344446,-1.38984382834295,3.35440795204953,0.614843779032371,0.0001561038069293,0.0001529564846462
0.1,26,1.75799576625676,0.305153440667253,3.81010023751173,0.561400953360775,0.0001529835168267,0.0001529823441434
0.1,27,1.5793094017106,0.426860185531424,3.94627278873451,0.364139940887309,0.732880640143488,0.0001529716851511
0.1,28,1.68749694009247,0.945776942498891,2.53850077658473,0.457313537113473,0.0001530034657186,0.0001529808933659
0.1,29,-1.21606855032342,1.70227405162711,2.95525111650053,0.655359864506021,0.0001529817822468,0.0001529799742973
0.1,30,-0.698678676946943,-1.54704781663698,3.97939912407862,0.410700828521523,0.0844392236070789,0.0001529776299939
0.1,32,1.31495003660772,-1.50134927518693,3.72912391881286,0.544191922306107,0.0001530126288466,0.0001529558676926
0.1,33,-0.572986693225643,1.68336753046949,2.6699475173533,0.732032889428498,0.0001530042277713,0.0001529811512761
0.1,34,-1.43630310010095,0.365101742979717,3.49250834207232,0.347258372967568,0.0001530960026459,0.0001530334673099
0.1,36,0.916028672163949,1.67942246565104,2.29485919870236,0.95955446033649,0.0001529867414289,0.0001529841939741
0.1,37,1.45241370350237,-1.10158070824007,2.58018396451282,0.33184649830035,0.0001529872222623,0.0001529874579046
0.1,38,-1.74576659885591,-1.29445205397511,3.13482117861909,0.717930922143346,0.0001529781880947,0.0001529992054614
0.1,39,0.918424713352256,1.6593836042724,3.55030245184578,0.510612858059988,0.0001530201485173,0.0001529562840135
0.1,40,1.54885097030531,0.322353401112174,2.99121427874005,0.208922500436674,0.0001530141597823,0.0001529984441407
0.1,41,0.245108790277985,1.84428126987782,2.31244184217527,0.419294162652386,0.0001530309152257,0.0001529916415601
0.1,42,0.0909313175279762,-1.65860132768542,2.66859585970491,0.710802961005308,0.0001530286837175,0.0001529820059611
0.1,44,0.0342827646588111,1.59221715776285,2.83789762669528,0.886328734119711,0.0001530217752372,0.0001529814336002
0.1,45,1.63026589570437,-1.17944143807197,2.23979605862993,0.751575749919484,0.0001529848156474,0.0001529860014598
0.1,46,-0.358468307857481,-1.85380132860762,2.23600252444098,0.912207976557257,0.0001529860320936,0.0001529994477479
0.1,47,1.71879060937029,0.0975610773103202,3.21061928032863,0.365536636888741,0.0001529762660929,0.0001529872616951
0.1,50,-1.25371976445586,-1.27228747801892,3.48054786018561,0.602778156805383,0.0001530122974467,0.0001530106161924
