sample_idx,x1,x2,x3,x4,x5,slack1,slack2
1,-1.31174599887491,2.4805210746738,-0.239788632064246,0.188396704926908,1.16877507579889,93.5155416334752,2.97076383300345e-07
2,-1.30599369034217,2.7224430807328,0.409304146406049,-0.41627586689109,1.41644939039064,2.716163651862e-07,2.57806654441074e-07
3,-2.52790066194371,2.76488450166602,-0.208483071848808,-0.0281570251623863,0.236983839722309,3.53607096151714e-07,2.84981485236549e-07
4,-1.43665640403064,2.64498810868677,-0.462252683032567,-0.348389362069524,1.20833170465612,3.62043311854924e-07,2.06048052092986e-07
5,-1.06249904566088,2.42851400344641,0.15579627989972,-0.116277825280546,1.36601495778553,3.02719729367319e-07,3.54262218028088e-07
6,-1.32103058190807,2.76553411249921,-0.237119298010674,0.265432216744772,1.44450353059114,2.2698027724754e-07,1.88652192425808e-07
7,-1.70943378931667,2.6199678085075,-0.427031667074312,-0.308706825797893,0.91053401919083,1.69696698649471e-07,3.83331335429069e-07
8,-0.815816946820092,2.61267180525854,-0.181824790491297,0.454617371504054,1.79685485843845,1693.17174326927,59.9278221577072
9,-0.882843134184752,2.48032504041287,-0.189852778909198,-0.266151630914522,1.59748190622812,2.8041062099638e-07,2.14810425700924e-07
10,-1.43990343174956,2.57201484351658,-0.190518420805133,-0.432326463342017,1.13211141176702,4.30342000560435e-07,3.90888805534948e-07
11,-2.05275232790298,2.73706170863463,-0.27650568574416,-0.266852696381913,0.684309380731651,1.6251053725708e-07,3.78718626698165e-07
12,-2.02670711920039,2.75764007300655,0.475604968589112,-0.24825553571747,0.730932953806155,2.85630781112125e-07,1.92773016911055e-07
13,-0.804134082931503,2.50605064276487,0.1464017366658,-0.20869719129485,1.70191655983337,920.53734076307,5.75838280677472e-07
14,-2.56852780698915,2.77780953772779,0.10102587748869,-0.284133602340511,0.209281730738638,224.679655234211,2.58379235446613e-07
15,-2.39503766786455,2.72637299927317,0.0239931674646672,0.047967796793928,0.331335331408624,3.64832623957324e-07,3.36942278750321e-07
16,-0.776203558130274,2.35349840953592,0.120278817100843,-0.443052051301552,1.57729485140565,4.00413400811362e-07,4.08269141364387e-07
17,-1.58745869495817,2.52930096758236,-0.409681439700927,0.153943672179926,0.941842272624187,3.23694578130194e-07,3.13102143153608e-07
18,-0.938786055216224,2.66538976763723,-0.453420057913458,-0.232792723243431,1.72660371242101,244.72560918569,3.39017808282917e-07
19,-0.677050632590468,2.07069961341543,0.350298736571792,0.0149824036958058,1.39364898082496,1980.67842131819,2.95950374969363e-07
20,-0.852817614804176,2.56413244367455,0.371187046350318,0.18587245523144,1.71131482887037,564.228773735575,4.16262041199822e-07
21,-1.82621206113259,2.61569717287285,-0.209256134109326,0.342588379433667,0.789485111740262,3.66331998695413e-07,2.20338555369573e-07
22,-0.813847780611057,2.38539584497163,0.114770953156262,0.305503111259863,1.57154806436057,48.8563891598611,2.40573993793947e-07
23,-0.823639893826853,2.44441490117458,0.153602952535226,-0.176060879839284,1.62077500734772,2.85949083194378e-07,2.20299620099398e-07
24,-0.860279303560866,2.48221172427813,0.0388193672496691,0.483162289911408,1.62193242071726,4.31639512320699e-07,2.26876618137742e-07
25,-1.38243212598604,2.61738634328205,-0.428793282458767,-0.382093688179716,1.23495421729602,3.71525229451278e-07,2.11876550878444e-07
26,-2.17170310900258,2.80115455209241,0.227397293845952,0.121883161454933,0.629451443089831,51.219994150553,6.55494333576483
27,-1.11618371113177,2.57679868230356,0.126463855254056,-0.0813948143280849,1.46061497117179,3.17357063109592e-07,2.8787775900899e-07
28,-1.18298513729317,2.67937947794852,-0.0921399744090866,-0.207403556376057,1.49639434065536,2.57038693768338e-07,4.00586833566753e-07
29,-1.58028934131385,2.69100547268859,0.205034522263333,0.0517900635794957,1.11071613137474,2.36477634726892e-07,2.43424498344509e-07
30,-1.64504610329383,2.63002032266095,-0.215459389727944,-0.150735094152361,0.98497421936712,2.4228878529753e-07,3.52525645134398e-07
31,-1.29969114198075,2.62515608725726,-0.433831278274819,0.180265628728575,1.32546494527651,2.07037426958051e-07,2.12941210405571e-07
32,-1.45729912418243,2.65500260291152,0.151319897226239,0.255714133601085,1.19770347872909,2.55464074648201e-07,3.11296399956049e-07
33,-1.29140971976854,2.80239086513111,-0.393611594585923,-0.237176973787611,1.51098114536258,3.31010342085639e-07,1.71622028271127e-07
34,-1.52123653757335,2.56829289274437,0.372948730409002,-0.131866410018862,1.04705635517103,4.13351125735877e-07,3.26072345042875e-07
35,-1.84460955177425,2.75418685367173,-0.160506084940057,-0.240608392579144,0.909577301897487,3.84958770297123e-07,3.05068401923301e-07
36,-0.695576171291791,2.26169279691672,-0.146094173743141,-0.234693629879581,1.56611662562493,1675.82350364638,4.24075228009245e-07
37,-0.906835067332574,2.58116156744788,-0.334122075337465,-0.138511570034752,1.67432650011531,3.33630749094831e-07,2.79314291628475e-07
38,-1.49373906384364,2.72025721947252,-0.0518713005348405,0.355624566175877,1.22651815562889,5.25771057605071e-07,2.76040617720727e-07
39,-2.47181607572867,2.74086113913133,0.378697583826076,0.392426177536039,0.269045063402663,2.89271826204468e-07,3.57457206238476e-07
40,-1.27329373936215,2.46870237545825,-0.457994232581188,0.196375849870566,1.1954086360961,144.413530903031,2.58405233474372e-07
