success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.28500000000000014,0.28500000000000014,14166.158907908211,1.5935435531133635e-06,0,57,326.7639626661038,18625.545871967915,0.005,40,0.2,Vanilla MPC,27,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.6518031476315489,1,0,2713.8936250121333,2713.8936250121333,0.005,40,0.2,Vanilla MPC,28,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,30887.761019988044,0.05357491897677846,0,62,321.73747308021825,19947.72333097353,0.005,40,0.2,Vanilla MPC,29,150,42,679.2,500.1
True,REACHED,0.30500000000000016,0.30500000000000016,28541.639600305276,0.013636119076675612,0,61,332.4091147223953,20276.955998066114,0.005,40,0.2,Vanilla MPC,30,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,3.93893625862001,1,0,5359.991624995018,5359.991624995018,0.005,40,0.2,Vanilla MPC,31,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,15876.819224947216,1.0872406406292612e-06,0,58,345.3888339828499,20032.552371005295,0.005,40,0.2,Vanilla MPC,32,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,20174.223982861422,8.297822766678564e-07,0,59,351.2094730688397,20721.358911061543,0.005,40,0.2,Vanilla MPC,33,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.9076143207029546,1,0,5914.107457996579,5914.107457996579,0.005,40,0.2,Vanilla MPC,34,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,24789.19005121326,0.0034639363144144397,0,60,331.9766791006259,19918.600746037555,0.005,40,0.2,Vanilla MPC,35,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.21393171881601347,1,0,5212.003959008143,5212.003959008143,0.005,40,0.2,Vanilla MPC,36,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,12382.872475447222,2.7425289150784238e-06,0,56,317.5026317148877,17780.14737603371,0.005,40,0.2,Vanilla MPC,37,150,42,679.2,500.1
True,REACHED,0.2650000000000001,0.2650000000000001,6551.9779671820925,3.186890943140952e-06,0,53,339.6447916042372,18001.17395502457,0.005,40,0.2,Vanilla MPC,38,150,42,679.2,500.1
