xi0,feasible,solved_lambda,k1_effect_pct,max_u,delta,mu_val
1e-08,1,1.70115567681868e-07,0.00177136914080585,51773624107.6141,6.25530132859587e-11,15
0.01,1,0.010000154696328,0.221292194436842,51688443751.9255,0.0999962954938236,15
0.1,1,0.100000873576812,0.392865202868489,51636449865.1831,0.999981068542186,15
1,1,1.00000264936146,0.377106171351319,51759097784.4955,9.99993918939274,15
15,1,15.0000000297989,8.08424161876716,53736902502.3913,149.999999213124,15
150,1,149.999999801262,82.3171404180259,84551254841.7703,1499.99999998139,15
1500,1,1499.99932674669,99.9990215530238,26917986889037.9,14999.9929978493,15
