xi0,lambda,max_k1,med_penalty,max_penalty,min_V,raset
1e-08,1.70115567681868e-07,34.0005682003411,1.23138786555095,39.0578545281879,-38.3020087403384,0.0464
0.0001,0.000101741881401222,5512.09154837959,28444.7796950808,1027104.87357404,-1027104.11772826,0
0.001,0.00100371721842553,5866.14865366593,32066.7898039812,1163231.9762112,-1163231.22036542,0
0.01,0.010000154696328,4522.3275375661,18173.8981635299,691483.66629216,-691482.910446372,0
0.03,0.0300004923594252,6390.33710138949,36592.0575553997,1380775.32117148,-1380774.56532569,0
0.05,0.0500008487940427,6034.89325489244,33312.1183943024,1231339.86458186,-1231339.10873607,0
0.1,0.100000873576812,7840.75694297909,55192.1644603814,2078746.68601028,-2078745.93016449,0
0.5,0.500003439509775,6518.70377332598,39681.5048375912,1436478.33375537,-1436477.57790958,0
