xi0,feasible,solved_lambda,k1_effect_pct,max_u,delta,mu_val
1e-08,1,1.09456316972482e-08,3.58341711207089e-06,355.94342414706,1.50313475483504e-10,0.1
0.001,1,0.00100041170645384,0.00245207731831462,355.944298706949,0.0100859489024275,0.1
0.01,1,0.0100104291563222,0.0438050449026253,355.961879923473,0.104062361840624,0.1
0.1,1,0.100013283389995,0.0543798089372382,355.949605288148,1.0743064822371,0.1
1,1,1.00000110431147,0.29010896486931,355.78625760117,10.7969765441256,0.1
1,1,1.00000110431147,0.29010896486931,355.78625760117,10.7969765441256,0.1
10,1,10.0000000854254,25.5678754374295,333.548202646414,107.974074734914,0.1
100,1,99.9999850826062,105.175767207431,8108.75303207224,1079.74964782187,0.1
