x1,x2,det,min_sv,cond,in_safe
0.692392110064994,0.715443497783242,1,1,1,1
0.892742261566362,-0.9002614894603,1,1,1,1
-0.820629004154287,-0.64596750611043,1,1,1,1
0.909426883505843,0.645128043238895,1,1,1,1
0.291190341695901,0.399809415914596,1,1,1,1
-0.885411109001299,-0.0660207131782125,1,1,1,1
-0.487303918492494,0.875090984452903,1,1,1,1
0.103139342250965,-0.201234269786188,1,1,1,1
1.00651503795545,0.348806500286498,1,1,1,0
1.02275477743841,1.00852275635409,1,1,1,0
-0.753251220309394,-0.435995191605607,1,1,1,1
1.03530411987335,0.494682738812612,1,1,1,0
1.00576728613448,0.554184994642005,1,1,1,0
-0.0321735728097494,-0.691612285367999,1,1,1,1
0.66061703155536,0.150435749216155,1,1,1,1
-0.787850055020126,-0.965552349037002,1,1,1,1
-0.172125178222195,0.403219493739464,1,1,1,1
0.914618155415948,0.371196984861214,1,1,1,1
0.64285612503102,-0.80476055279506,1,1,1,1
1.01088333806439,0.86481277024155,1,1,1,0
0.342629538144491,-0.726738408707227,1,1,1,1
-1.02143430713678,0.0970419072747288,1,1,1,0
0.76808447291131,-1.0238492870581,1,1,1,1
0.954785145066611,0.69204104930664,1,1,1,1
0.393217340687102,0.209225424884962,1,1,1,1
0.567028287272334,-0.207239179800057,1,1,1,1
0.534891429874816,0.316877461473593,1,1,1,1
-0.23710055702483,-0.294045178641052,1,1,1,1
0.342051358390625,1.09993472645663,1,1,1,1
-0.723389286814564,0.45329950168641,1,1,1,1
0.453301393643139,-0.667036432284201,1,1,1,1
-1.02996773796967,0.725060909506619,1,1,1,0
-0.490769433086042,-0.434525232091867,1,1,1,1
-0.998422940611461,0.0506388702912262,1,1,1,1
-0.886310081281136,0.274702143590876,1,1,1,1
0.711607222320044,-1.08954740669897,1,1,1,1
0.428622970546797,0.605815100688359,1,1,1,1
-0.402381143866107,-0.632729475617826,1,1,1,1
0.990488507444381,-0.651247184386381,1,1,1,1
-1.0242186228936,0.648564717488857,1,1,1,0
-0.134762408755924,-0.506219039827765,1,1,1,1
-0.260571394395382,0.72774067611306,1,1,1,1
0.584136933927805,1.09397508259281,1,1,1,1
0.649439782501539,-0.230172452154632,1,1,1,1
-0.688880269980367,0.879213845602729,1,1,1,1
-0.0225183292658917,0.0678554627572374,1,1,1,1
-0.119710358436021,-0.919048616394367,1,1,1,1
0.321888622244782,-0.179191318949231,1,1,1,1
0.46060262788776,-1.05841066607075,1,1,1,1
0.560310700361194,0.883346847437543,1,1,1,1
-0.492744830603128,-0.275090353709534,1,1,1,1
0.395345889078085,-1.07394424285385,1,1,1,1
0.341215608742449,0.00252995601708261,1,1,1,1
-0.742254182571813,-0.124555797913638,1,1,1,1
-0.838205100571571,0.775376381035654,1,1,1,1
-0.00359908563928557,0.0018982224772468,1,1,1,1
1.01143670873538,-0.853169919853656,1,1,1,0
-0.351151401334507,0.641082902165558,1,1,1,1
0.18758905215551,0.956619135932448,1,1,1,1
-0.607613733119499,0.782952910628114,1,1,1,1
0.552787530472436,-0.75898546189377,1,1,1,1
-0.538790745989608,-0.921138722754374,1,1,1,1
0.0131055136633131,0.282176875590225,1,1,1,1
0.437968789844709,-0.886695165044071,1,1,1,1
0.859987155578757,-1.02644800721964,1,1,1,1
1.01044113545198,-0.388057895434274,1,1,1,0
0.103874165920367,0.319112360876319,1,1,1,1
-0.795026225776906,0.185407406478945,1,1,1,1
-0.771553187770074,0.378789368705251,1,1,1,1
-0.53348184092778,0.643915404730181,1,1,1,1
0.749577963164058,-0.263572559645898,1,1,1,1
-0.540579206262632,-0.9255547057517,1,1,1,1
0.691426617351396,-0.144777929231204,1,1,1,1
-0.564245068805024,0.628042458554395,1,1,1,1
0.944379971011901,-0.429260194713948,1,1,1,1
-0.330035714833421,0.514870097571306,1,1,1,1
-0.667490449051342,-0.879566209515324,1,1,1,1
-0.547615512452732,-0.719912423176293,1,1,1,1
0.255298287522606,0.935254235266808,1,1,1,1
-0.0587645324139956,0.634529484302658,1,1,1,1
-0.326349084461407,0.613417727034457,1,1,1,1
0.72782298137184,0.830073764900089,1,1,1,1
0.187581000535993,0.901386058150921,1,1,1,1
0.109391938240507,0.946849206773169,1,1,1,1
0.917826060425582,-0.211187417066768,1,1,1,1
-0.471154158595178,-0.46387124963691,1,1,1,1
0.565840504043587,0.591160509400544,1,1,1,1
0.55820400741269,0.976536879382965,1,1,1,1
-0.263019136654215,-0.485327338256111,1,1,1,1
0.149207609595486,-0.283513031550668,1,1,1,1
-0.93312056296126,-0.498927933548346,1,1,1,1
-0.981309738933464,-0.058213720464199,1,1,1,1
0.06775461661974,1.0131972469777,1,1,1,1
0.614167906224425,-0.876135103422465,1,1,1,1
0.954823505304203,0.0894182864338153,1,1,1,1
-0.814206341357794,-0.42343187427327,1,1,1,1
0.151412053918824,-0.766368249523632,1,1,1,1
-0.0673405896719472,-0.170230485977217,1,1,1,1
-1.07381544709727,-0.386734762528743,1,1,1,0
-0.358330182322461,0.124095082376918,1,1,1,1
-0.743198921974866,-0.694231710432722,1,1,1,1
0.647425989504595,-0.627213288397318,1,1,1,1
-0.415326907501429,0.143575538384128,1,1,1,1
0.0627728981136679,0.899023256816435,1,1,1,1
-0.735572795100482,0.439779343269024,1,1,1,1
0.2243602710836,0.848016849171201,1,1,1,1
-0.521463174011683,0.535028115055061,1,1,1,1
0.338974016648921,-0.1217006529689,1,1,1,1
0.416271906908017,-0.839072966845098,1,1,1,1
0.545933504212161,0.966393147733299,1,1,1,1
-0.108808483294505,0.212194283182912,1,1,1,1
-0.915592968406748,-0.371772148148948,1,1,1,1
-0.596250668822999,-0.455397017835808,1,1,1,1
0.909342195303673,0.00897956730981786,1,1,1,1
-0.76476835826771,0.758518425528013,1,1,1,1
0.716797350477004,0.980461262822473,1,1,1,1
0.0843533575721256,0.766284472846129,1,1,1,1
1.09149637657915,0.0968400567251155,1,1,1,0
