xi0,lambda,dim,slack,achievable,con_lo,con_hi,unc_lo,unc_hi,dist_pct,raset_frac,ub_req,mu_val
1e-08,1.09456316972482e-08,1,75.7591403064352,80.7591403064352,-78.8423984030769,85.9354375451739,-99.5814990016527,79.0399203581197,4.91122240270022e-05,0.4133,5,0.1
1e-08,1.09456316972482e-08,2,5.00581047020781,10.0058104702078,-11.1007715580344,8.19122534659654,-10.9343745836281,8.86513077072734,0.000172241558669706,0.4133,5,0.1
0.1,0.100013283389995,1,75.6426280331652,80.6426280331652,-78.8576943270238,85.8881686802636,-99.5885193669087,79.0316138479025,0.174887585305573,0.4133,5,0.1
0.1,0.100013283389995,2,4.9987860853661,9.9987860853661,-11.1001066534958,8.20077769047425,-10.928457812876,8.88068581830358,0.715012747291455,0.4133,5,0.1
1,1.00000110431147,1,74.4545039347965,79.4545039347965,-79.073084489135,85.259371977585,-99.8045017367202,79.4426460701954,2.61157759588322,0.42275,5,0.1
1,1.00000110431147,2,4.90232960814688,9.90232960814688,-11.0186548703959,8.33961089005947,-10.808521755799,9.00177289341836,3.24179185998161,0.42275,5,0.1
10,10.0000000854254,1,10.8129814941918,15.8129814941918,-92.647394023107,81.5969705152452,-55.2248189287656,52.2157461708395,84.4966964159455,0.42055,5,0.1
10,10.0000000854254,2,2.31241200742067,7.31241200742067,-10.4516170105022,10.1877325828066,-8.23708897738161,8.44519735875082,84.1550388513787,0.42055,5,0.1
