sample_idx,x1,x2,th,v,slack1,slack2
1,-1.37592543823025,-1.44291170934645,2.89067494432964,0.891081010254041,1.34471042994164e-07,1.33545505884928e-07
2,-1.37602191865519,1.17610075708118,2.9296875814265,0.61459511684349,1.33979118357436e-07,1.34023042417907e-07
3,1.87963940864798,-0.753111728817807,3.5984285561575,0.641731087913618,1.34349722454687e-07,1.34585463507156e-07
4,-1.44202455739183,1.38580916693807,4.05147334043442,0.446060194880331,1.34091056928267e-07,1.34720303896776e-07
5,-0.831421405859127,-1.49004535067207,2.83083193643822,0.538900361759138,1.33822395230645e-07,1.34170427939375e-07
6,-1.73979362805888,-0.992803764372189,3.59429756706184,0.525244019505862,1.34269316153686e-07,1.34316898002913e-07
7,1.79554214901333,-0.617216025984322,2.66537747432435,0.141083870952145,1.33949665445358e-07,1.34131626312932e-07
8,1.23358939246584,1.63380224533451,2.34967273932794,0.349132877012175,1.34064129556788e-07,1.3422442105365e-07
9,-0.239390025041595,1.78913335844726,3.19429472110172,0.276487941464554,1.33845217282868e-07,1.34103245004569e-07
10,-1.51184706062088,-1.38659438753568,3.57941812031486,0.649702063968191,1.34523048718988e-07,1.34153450554621e-07
11,1.63728160831513,0.445816941738591,2.6317389400337,0.564915365601381,1.34131316607403e-07,1.34757189523022e-07
12,-0.753155695642356,1.72847312993445,3.78246195120769,0.297161928191672,1.34190140770992e-07,1.34947378657884e-07
13,-1.26058217789789,1.68999752470918,3.42046424251083,0.404974584404876,1.34440108281539e-07,1.34477154788571e-07
14,1.87833851105823,0.828954537253594,4.08700960271134,0.822327111621832,1.34281054040602e-07,1.34504288387583e-07
15,1.75799576625676,0.305153440667253,3.81010023751173,0.561400953360775,1.3452166595282e-07,1.33818381988959e-07
16,1.68749694009247,0.945776942498891,2.53850077658473,0.457313537113473,1.34474559752718e-07,1.34390818080148e-07
17,-1.21606855032342,1.70227405162711,2.95525111650053,0.655359864506021,1.34073778506679e-07,1.34266889356083e-07
18,1.31495003660772,-1.50134927518693,3.72912391881286,0.544191922306107,1.34543824704162e-07,1.33785439234991e-07
19,-0.572986693225643,1.68336753046949,2.6699475173533,0.732032889428498,1.34665333259627e-07,1.3399262866473e-07
20,-0.876261961250477,1.47958544824851,3.81727450224676,0.993535155099163,1.33872449770568e-07,1.34043148108966e-07
21,-1.43630310010095,0.365101742979717,3.49250834207232,0.347258372967568,1.34409651913348e-07,1.33929320745986e-07
22,1.94754774640207,-0.659211033416396,3.04057511615999,0.469918967738991,1.34504954201657e-07,1.34590528975472e-07
23,0.916028672163949,1.67942246565104,2.29485919870236,0.95955446033649,1.34037252813403e-07,1.33785454241303e-07
24,-1.74576659885591,-1.29445205397511,3.13482117861909,0.717930922143346,1.34543818148006e-07,1.33847239857025e-07
25,0.245108790277985,1.84428126987782,2.31244184217527,0.419294162652386,1.33864706549562e-07,1.33870181522674e-07
26,1.08386871981824,-1.40534908898755,3.61144677346091,0.947553140457033,1.34293108007088e-07,1.33964150580218e-07
27,0.0909313175279762,-1.65860132768542,2.66859585970491,0.710802961005308,1.34232343439833e-07,1.34734646872318e-07
28,0.0342827646588111,1.59221715776285,2.83789762669528,0.886328734119711,1.34410552255695e-07,1.34513505760287e-07
29,1.63026589570437,-1.17944143807197,2.23979605862993,0.751575749919484,1.34357399276401e-07,1.34659594546925e-07
30,-0.358468307857481,-1.85380132860762,2.23600252444098,0.912207976557257,1.34290137048529e-07,1.34819516968622e-07
31,1.71879060937029,0.0975610773103202,3.21061928032863,0.365536636888741,1.34681385607179e-07,1.34673592887194e-07
32,1.57023599395991,1.44714248405407,3.26261395992911,0.408850617855392,1.34277575599138e-07,1.34751413840885e-07
33,0.157368967662603,1.78446184853453,3.62466595259936,0.756256138794503,1.34451711366601e-07,1.34497593787322e-07
34,-1.08825934983223,-1.89845457735862,2.46154872630219,0.705669960154989,1.33384660829953e-07,1.33601529586439e-07
35,-0.649539314385488,-1.5835656720617,3.76038160447006,0.487886698461967,1.33694367524941e-07,1.34642122026693e-07
36,1.77163881565008,1.19966434149276,4.03627178655856,0.386980136489025,1.33390438843168e-07,1.34077845690961e-07
37,1.88712833088384,-1.02731123600218,4.03590138952759,0.719564516642923,1.34057797147728e-07,1.33911335497924e-07
38,1.84978917976844,0.889067727422637,3.22527867155508,0.437097598318109,1.34595046021332e-07,1.34842172676596e-07
39,-0.885414143053554,-1.65796587658213,3.57878652619323,0.673212085709269,1.34211964866987e-07,1.33978240306019e-07
